"Name","Version","InstallDate","InstallLocation"
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030","11.0.61030","20230107",
"Microsoft ODBC Driver 17 for SQL Server","17.2.0.1","20210717",
"Microsoft Windows Desktop Targeting Pack - 3.1.0 (x64)","24.64.28315","20210718",
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030","11.0.61030","20231211",
"Microsoft .NET Host - 5.0.12 (x86)","40.48.30622","20220511",
"WinRT Intellisense IoT - en-us","10.1.19041.685","20210718",
"Python 3.7.8 Standard Library (64-bit symbols)","3.7.8150.0","20210717",
"Workflow Manager Tools 1.0 for Visual Studio","2.1.30411.0","20210718","C:\Program Files (x86)\Workflow Manager Tools\1.0\"
"Python 3.7.8 Executables (64-bit)","3.7.8150.0","20210717",
"DiagnosticsHub_CollectionService","16.1.28901","20210717",
"Microsoft ASP.NET Core 5.0.0 Targeting Pack (x64)","5.0.0.20526","20210718",
"Windows SDK AddOn","10.1.0.0","20210718",
"Microsoft Workflow Debugger v1.0 for x86","16.0.31306","20210718",
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17","9.0.30729","20210805",
"Microsoft .NET Native SDK","15.0.24211.07","20210718",
"Workflow Manager Client 1.0","2.1.10525.2","20210718","C:\Program Files\Reference Assemblies\Microsoft\Workflow Manager\1.0\"
"Windows SDK Desktop Libs x64","10.1.19041.685","20210718",
"Microsoft Exchange Web Services Managed API 2.1","15.0.847.30","20210718",
"icecap_collection_neutral","16.10.31306","20210717",
"Windows SDK EULA","10.1.19041.685","20210718",
"Windows Mobile Extension SDK Contracts","10.1.19041.685","20210718",
"Microsoft Windows Desktop Runtime - 3.1.16 (x64)","24.64.30112","20210718",
"Windows SDK Desktop Headers x64","10.1.19041.685","20210718",
"Microsoft .NET Runtime - 5.0.7 (x86)","40.28.30105","20210718",
"Oracle VM VirtualBox 7.0.8","7.0.8","20230523",
"Microsoft .NET Framework 4.7.2 Targeting Pack","4.7.03062","20210717",
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030","11.0.61030","20230107",
"Visual C++ Library CRT Desktop Appx Package","14.29.30038","20210718",
"Windows SDK ARM Desktop Tools","10.1.19041.685","20210718",
"WinRT Intellisense UAP - Other Languages","10.1.19041.685","20210718",
"Microsoft Update Health Tools","5.72.0.0","20231103",
"WinRT Intellisense Mobile - en-us","10.1.19041.685","20210718",
"Microsoft .NET Host FX Resolver - 5.0.7 (x64)","40.28.30105","20210718",
"Microsoft ASP.NET Core 5.0.7 Shared Framework (x86)","5.0.7.21263","20210718",
"Microsoft ASP.NET Web Tools Packages 16.0 - ENU","1.0.21125.0","20210717",
"Microsoft Visual C++ 2019 X86 Additional Runtime - 14.29.30133","14.29.30133","20220511",
"Microsoft .NET Host FX Resolver - 5.0.7 (x86)","40.28.30105","20210718",
"Windows Simulator","16.0.28522","20210718",
"Microsoft .NET AppHost Pack - 5.0.7 (x64)","40.28.30105","20210718",
